30,6
30,5
30,4
30,2
30,0
30,1
30,0
29,6
29,4
29,4
29,3
29,2
29,0
29,0
28,8
28,8
28,6
28,5
28,4
28,4
28,4
28,4
28,4
28,2
28,2
28,0
28,0
27,9
28,0
27,8
27,8
27,6
27,6
27,6
27,4
27,4
27,3
27,3
27,3
27,1
27,1
26,9
26,8
26,7
26,7
26,6
26,5
26,4
26,2
26,4
26,5
26,3
26,1
26,2
26,2
26,2
25,9
25,8
25,9
25,9
25,8
25,7
25,5
25,7
25,6
25,6
25,3
25,5
25,3
25,5
25,3
25,1
25,0
25,2
25,1
25,0
25,2
25,0
25,0
25,1
25,3
25,2
25,2
24,9
25,3
25,1
25,2
24,8
25,1
25,4
24,9
24,8
24,9
24,8
25,0
24,9
24,7
24,6
24,8
24,8
24,7
24,7
24,4
24,5
24,1
24,1
24,2
24,5
24,4
24,2
24,1
24,1
24,2
24,1
24,0
24,1
24,0
24,1
24,0
24,1
24,0
23,9
24,0
23,9
24,0
23,7
24,1
23,8
24,0
24,0
23,9
23,8
23,9
24,0
23,8
23,7
23,7
23,8
23,7
23,8
23,8
23,8
23,8
23,8
23,7
23,7
23,6
23,6
23,6
23,7
23,6
23,6

