Model,DPO2002B
Firmware Version,1.56

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.02,
Sample Interval,6.4e-05,
Filter Frequency,7e+07,
Record Length,3124,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,1,0.1
Label,,
TIME,CH1,CH2
-9.1448e-02,-0.706719,-0.130828
-9.1384e-02,-0.654219,-0.128266
-9.1320e-02,-0.6225,-0.123641
-9.1256e-02,-0.586094,-0.119672
-9.1192e-02,-0.543437,-0.11775
-9.1128e-02,-0.497969,-0.115
-9.1064e-02,-0.467656,-0.110594
-9.1000e-02,-0.435156,-0.106594
-9.0936e-02,-0.401094,-0.104375
-9.0872e-02,-0.367656,-0.100969
-9.0808e-02,-0.330156,-0.0969531
-9.0744e-02,-0.305312,-0.093375
-9.0680e-02,-0.260781,-0.0904844
-9.0616e-02,-0.234531,-0.0852813
-9.0552e-02,-0.19875,-0.0822969
-9.0488e-02,-0.163125,-0.0766406
-9.0424e-02,-0.129687,-0.0736406
-9.0360e-02,-0.104375,-0.0698906
-9.0296e-02,-0.0746875,-0.0674531
-9.0232e-02,-0.0409375,-0.06175
-9.0168e-02,-0.00703124,-0.0599375
-9.0104e-02,0.0220313,-0.0552188
-9.0040e-02,0.0545313,-0.0517813
-8.9976e-02,0.0829688,-0.0475469
-8.9912e-02,0.109688,-0.0443281
-8.9848e-02,0.132344,-0.0395
-8.9784e-02,0.163125,-0.0344844
-8.9720e-02,0.1975,-0.02975
-8.9656e-02,0.22875,-0.0269844
-8.9592e-02,0.245313,-0.0213125
-8.9528e-02,0.28125,-0.0172344
-8.9464e-02,0.305156,-0.0113594
-8.9400e-02,0.33,-0.00842188
-8.9336e-02,0.364063,-0.00521875
-8.9272e-02,0.397969,-0.000671875
-8.9208e-02,0.417813,0.00473437
-8.9144e-02,0.440938,0.0074375
-8.9080e-02,0.476094,0.0127813
-8.9016e-02,0.499219,0.0154531
-8.8952e-02,0.52125,0.0209375
-8.8888e-02,0.552031,0.0229531
-8.8824e-02,0.569375,0.0288281
-8.8760e-02,0.595625,0.0329219
-8.8696e-02,0.621094,0.0371094
-8.8632e-02,0.649844,0.0410469
-8.8568e-02,0.677188,0.046125
-8.8504e-02,0.695938,0.05
-8.8440e-02,0.72125,0.0534219
-8.8376e-02,0.747969,0.0576875
-8.8312e-02,0.76375,0.0620625
-8.8248e-02,0.790469,0.0659688
-8.8184e-02,0.813906,0.0694844
-8.8120e-02,0.838906,0.0729688
-8.8056e-02,0.874844,0.0777656
-8.7992e-02,0.895156,0.0826875
-8.7928e-02,0.919688,0.0860938
-8.7864e-02,0.935781,0.0892969
-8.7800e-02,0.970313,0.0939844
-8.7736e-02,0.99625,0.09825
-8.7672e-02,1.02125,0.0999688
-8.7608e-02,1.04094,0.105297
-8.7544e-02,1.06891,0.106797
-8.7480e-02,1.09016,0.111688
-8.7416e-02,1.11828,0.115016
-8.7352e-02,1.15141,0.118844
