678,00	-0,051
679,00	-0,058
680,00	-0,057
681,00	-0,048
682,00	-0,055
683,00	-0,055
684,00	-0,064
685,00	-0,055
686,00	-0,055
687,00	-0,055
688,00	-0,052
689,00	-0,052
690,00	-0,059
691,00	-0,046
692,00	-0,052
693,00	-0,052
694,00	-0,053
695,00	-0,057
696,00	-0,059
697,00	-0,051
698,00	-0,054
699,00	-0,052
700,00	-0,051
701,00	-0,047
702,00	-0,047
703,00	-0,055
704,00	-0,054
705,00	-0,053
706,00	-0,056
707,00	-0,053
708,00	-0,055
709,00	-0,053
710,00	-0,056
711,00	-0,057
712,00	-0,052
713,00	-0,051
714,00	-0,049
715,00	-0,056
716,00	-0,054
717,00	-0,052
718,00	-0,049
719,00	-0,051
720,00	-0,050
721,00	-0,051
722,00	-0,052
723,00	-0,050
724,00	-0,052
725,00	-0,053
726,00	-0,049
727,00	-0,049
728,00	-0,050
729,00	-0,052
730,00	-0,046
731,00	-0,043
732,00	-0,030
733,00	-0,036
734,00	-0,038
735,00	-0,034
736,00	-0,030
737,00	-0,027
738,00	-0,034
739,00	-0,028
740,00	-0,023
741,00	-0,023
742,00	-0,028
743,00	-0,026
744,00	-0,027
745,00	-0,024
746,00	-0,028
747,00	-0,024
748,00	-0,030
749,00	-0,039
750,00	-0,041
751,00	-0,038
752,00	-0,037
753,00	-0,038
754,00	-0,043
755,00	-0,047
756,00	-0,045
757,00	-0,044
758,00	-0,046
759,00	-0,052
760,00	-0,046
761,00	-0,051
762,00	-0,052
763,00	-0,046
764,00	-0,046
765,00	-0,045
766,00	-0,054
767,00	-0,054
768,00	-0,050
769,00	-0,052
770,00	-0,055
771,00	-0,043
772,00	-0,049
773,00	-0,050
774,00	-0,052
775,00	-0,048
776,00	-0,045
777,00	-0,052
778,00	-0,050
779,00	-0,053
780,00	-0,057
781,00	-0,054
782,00	-0,051
783,00	-0,042
784,00	-0,052
785,00	-0,042
786,00	-0,051
787,00	-0,049
788,00	-0,053
789,00	-0,042
790,00	-0,036
791,00	-0,043
792,00	-0,034
793,00	-0,028
794,00	-0,021
795,00	-0,017
796,00	-0,011
797,00	-0,018
798,00	-0,022
799,00	-0,026
800,00	-0,032
801,00	-0,029
802,00	-0,030
803,00	-0,034
804,00	-0,031
805,00	-0,042
806,00	-0,034
807,00	-0,037
808,00	-0,043
809,00	-0,040
810,00	-0,036
811,00	-0,046
812,00	-0,053
813,00	-0,048
814,00	-0,049
815,00	-0,053
816,00	-0,046
817,00	-0,054
818,00	-0,048
819,00	-0,049
820,00	-0,047
821,00	-0,047
822,00	-0,049
823,00	-0,047
824,00	-0,050
825,00	-0,052
826,00	-0,046
827,00	-0,052
828,00	-0,045
829,00	-0,045
830,00	-0,046
831,00	-0,054
832,00	-0,047
833,00	-0,053
834,00	-0,053
835,00	-0,052
836,00	-0,047
837,00	-0,042
838,00	-0,049
839,00	-0,044
840,00	-0,049
841,00	-0,051
842,00	-0,052
843,00	-0,046
844,00	-0,054
845,00	-0,049
846,00	-0,050
847,00	-0,043
848,00	-0,054
849,00	-0,040
850,00	-0,043
851,00	-0,056
852,00	-0,038
853,00	-0,051
854,00	-0,043
855,00	-0,046
856,00	-0,051
857,00	-0,050
858,00	-0,043
859,00	-0,046
860,00	-0,046
861,00	-0,037
862,00	-0,040
863,00	-0,035
864,00	-0,032
865,00	-0,039
866,00	-0,042
867,00	-0,031
868,00	-0,036
869,00	-0,036
870,00	-0,037
871,00	-0,038
872,00	-0,041
873,00	-0,040
874,00	-0,034
875,00	-0,029
876,00	-0,041
877,00	-0,040
878,00	-0,037
879,00	-0,046
880,00	-0,041
881,00	-0,043
882,00	-0,038
883,00	-0,040
884,00	-0,043
885,00	-0,038
886,00	-0,051
887,00	-0,041
888,00	-0,042
889,00	-0,041
890,00	-0,041
891,00	-0,042
892,00	-0,046
893,00	-0,046
894,00	-0,047
895,00	-0,050
896,00	-0,057
897,00	-0,051
898,00	-0,040
899,00	-0,044
900,00	-0,050
901,00	-0,054
902,00	-0,056
903,00	-0,052
904,00	-0,053
905,00	-0,051
906,00	-0,048
907,00	-0,054
908,00	-0,048
909,00	-0,047
910,00	-0,050
911,00	-0,050
912,00	-0,046
913,00	-0,044
914,00	-0,048
915,00	-0,043
916,00	-0,051
917,00	-0,055
918,00	-0,045
919,00	-0,053
920,00	-0,044
921,00	-0,040
922,00	-0,039
923,00	-0,048
924,00	-0,041
925,00	-0,041
926,00	-0,035
927,00	-0,032
928,00	-0,048
929,00	-0,031
930,00	-0,038
931,00	-0,041
932,00	-0,038
933,00	-0,038
934,00	-0,031
935,00	-0,030
936,00	-0,024
937,00	-0,028
938,00	-0,025
939,00	-0,014
940,00	-0,032
941,00	-0,029
942,00	-0,026
943,00	-0,018
944,00	-0,012
945,00	-0,021
946,00	0,004
947,00	-0,006
948,00	-0,005
949,00	-0,002
950,00	-0,004
951,00	-0,006
952,00	0,004
953,00	0,012
954,00	0,007
955,00	0,013
956,00	0,018
957,00	0,020
958,00	0,007
959,00	0,023
960,00	0,027
961,00	0,037
962,00	0,027
963,00	0,037
964,00	0,042
965,00	0,053
966,00	0,045
967,00	0,038
968,00	0,040
969,00	0,041
970,00	0,057
971,00	0,043
972,00	0,046
973,00	0,054
974,00	0,048
975,00	0,042
976,00	0,052
977,00	0,043
978,00	0,043
979,00	0,021
980,00	0,063
981,00	0,052
982,00	0,043
983,00	0,061
984,00	0,051
985,00	0,076
986,00	0,043
987,00	0,057
988,00	0,055
989,00	0,055
990,00	0,024
991,00	0,050
992,00	0,071
993,00	0,044
994,00	0,068
995,00	0,045
996,00	0,060
997,00	0,055
998,00	0,067
999,00	0,059
1000,00	0,019
